1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,16 - Latitude (decimal),17 - Longitude (decimal),59 - Superstructure Condition Rating,60 - Substructure Condition Rating,62 - Culverts Condition Rating,63 - Operating Rating Method Code,64 - Operating Rating (US tons),58 - Deck Condition Rating,66 - Inventory Rating (US tons)
31,'Nebraska',00000000000B315,'Bureau of Indian Affairs',40.00503,-95.33544,'N','N','5','2',48.9,'N',35.9
31,'Nebraska',00000000000B316,'Bureau of Indian Affairs',40.02285,-95.36835,'N','N','6','2',48.9,'N',35.9
31,'Nebraska',C007403435P    ,'County Highway Agency',40.0249,-95.3837,'6','7','N','1',26.5,'7',16.5
31,'Nebraska',00000000000B314,'Bureau of Indian Affairs',39.99996,-95.39845,'7','7','N','2',95.9,'6',58
31,'Nebraska',C007406105P    ,'County Highway Agency',40.0138,-95.4355,'7','6','N','1',47.4,'6',27.6
31,'Nebraska',S159 01373     ,'State Highway Agency',40.052,-95.421,'8','5','N','1',78.3,'8',46.3
31,'Nebraska',C007406105     ,'County Highway Agency',40.025,-95.445,'N','N','9','3',47.4,'N',36.4
31,'Nebraska',S159 01306     ,'State Highway Agency',40.0543,-95.435,'8','8','N','1',80.5,'8',48.5
31,'Nebraska',C007453242P    ,'County Highway Agency',40.0394,-95.4449,'6','6','N','1',36.4,'7',20.9
31,'Nebraska',C007453240P    ,'County Highway Agency',40.0358,-95.445,'5','3','N','1',0,'7',0
31,'Nebraska',C007413860     ,'County Highway Agency',40,-95.463,'8','7','N','1',75,'8',41.9
31,'Nebraska',C007443235     ,'County Highway Agency',40.0432,-95.4522,'7','7','N','1',35.3,'7',20.9
31,'Nebraska',C007416305     ,'County Highway Agency',40.1008,-95.4308,'6','6','N','1',26.5,'7',16.5
31,'Nebraska',C007462620     ,'County Highway Agency',40.0866,-95.4464,'4','5','N','2',11,'4',7.7
31,'Nebraska',C007406115     ,'County Highway Agency',40.0967,-95.445,'N','N','6','0',36.4,'N',24.3
31,'Nebraska',C007405705     ,'County Highway Agency',40.0256,-95.4827,'6','5','N','1',35.3,'6',20.9
31,'Nebraska',C007406120     ,'County Highway Agency',40.1149,-95.4449,'7','7','N','1',41.9,'7',25.4
