1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.),17 - Longitude (decimal),16 - Latitude (decimal),58 - Deck Condition Rating,59 - Superstructure Condition Rating,60 - Substructure Condition Rating,62 - Culverts Condition Rating,63 - Operating Rating Method Code,64 - Operating Rating (US tons),66 - Inventory Rating (US tons),91 - Designated Inspection Frequency,90 - Inspection Date,92A - Fracture Critical Details,92B - Underwater Inspection,92C - Other Special Inspection,93A - Fracture Critical Detail Date,93B - Underwater Inspection Date,93C - Other Special Inspection Date,21 - Maintenance Responsibility
31,Nebraska,00000000000B315,Bureau of Indian Affairs,147,Richardson County,0,0,No Place Code,1990,200,Concrete Continuous,Culvert,3,22,DEER CREEK              ,IRR BIA RTE 820   ,Fair,32,995.2,-95.33544,40.00503,N,N,N,5,2,48.9,35.9,24,12/2/2017 0:00,N  ,N  ,N  ,,,,62
31,Nebraska,00000000000B316,Bureau of Indian Affairs,147,Richardson County,0,0,No Place Code,1990,2000,Concrete Continuous,Culvert,2,22.6,FOX CREEK               ,IRR BIA RTE 809   ,Fair,32,1017.5,-95.36835,40.02285,N,N,N,6,2,48.9,35.9,24,12/2/2017 0:00,N  ,N  ,N  ,,,,62
31,Nebraska,C007403435P    ,County Highway Agency,147,Richardson County,0,0,No Place Code,1953,530,Steel Continuous,Stringer/Multi-beam or Girder,3,305.1,BIG NEMAHA RIVER        ,703TR-WEST 664 AV ,Fair,69,7507.8,-95.3837,40.0249,7,6,7,N,1,26.5,16.5,24,6/2/2018 0:00,N  ,Y60,N  ,,1018,,2
31,Nebraska,00000000000B314,Bureau of Indian Affairs,147,Richardson County,0,0,No Place Code,1995,50,Prestressed Concrete Continuous,Stringer/Multi-beam or Girder,3,149.9,ROYS CREEK              ,IRR BIA RTE 815   ,Fair,27,4525.6,-95.39845,39.99996,6,7,7,N,2,95.9,58,24,12/2/2017 0:00,N  ,N  ,N  ,,,,62
31,Nebraska,C007406105P    ,County Highway Agency,147,Richardson County,0,0,No Place Code,1966,255,Steel Continuous,Stringer/Multi-beam or Girder,3,356,BIG NEMAHA RIVER        ,660 BL-SOUTH 703TR,Fair,56,9927,-95.4355,40.0138,6,7,6,N,1,47.4,27.6,24,7/2/2018 0:00,N  ,Y60,N  ,,1018,,2
31,Nebraska,S159 01373     ,State Highway Agency,147,Richardson County,42670,0,No Place Code,2011,1005,Steel Continuous,Stringer/Multi-beam or Girder,3,2400.9,MISSOURI RIVER/ASH ST   ,US159             ,Fair,11,101613.6,-95.421,40.052,8,8,5,N,1,78.3,46.3,24,8/2/2017 0:00,N  ,Y60,N  ,,1018,,1
31,Nebraska,C007406105     ,County Highway Agency,147,Richardson County,0,0,No Place Code,2018,15,Steel,Culvert,2,24,BIG NEMAHA RIVER TRIB   ,660 AVE           ,Good,4,550,-95.445,40.025,N,N,N,9,3,47.4,36.4,24,12/2/2018 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,S159 01306     ,State Highway Agency,147,Richardson County,42670,42670,Rulo village,1999,1005,Prestressed Concrete,Stringer/Multi-beam or Girder,3,195.9,BNSF RR        083-711-X,US159             ,Good,23,8161.1,-95.435,40.0543,8,8,8,N,1,80.5,48.5,24,8/2/2018 0:00,N  ,N  ,N  ,,,,1
31,Nebraska,C007453242P    ,County Highway Agency,147,Richardson County,0,0,No Place Code,1935,5,Steel,Stringer/Multi-beam or Girder,1,25.6,ROAD DITCH              ,FB-660A-703T/705R ,Fair,87,512.1,-95.4449,40.0394,7,6,6,N,1,36.4,20.9,24,10/2/2017 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007453240P    ,County Highway Agency,147,Richardson County,0,0,No Place Code,2001,5,Steel,Stringer/Multi-beam or Girder,1,24,ROADSIDE DITCH          ,FB-660A-703T/705R ,Poor,21,487.2,-95.445,40.0358,7,5,3,N,1,0,0,24,4/2/2017 0:00,N  ,N  ,N  ,,,,2
